ID,timestamp,cpu_type,cpu_limit,ram_limit,cpu_usage,ram_usage,num_req,conc_lvl,latency
2714,2021-11-04 23:15:38,Intel Xeon Gold 5317,2.0,70M,0.08445,46854144.0,100,71,7429000
38113,2021-11-04 23:23:27,AMD EPYC 72F3,2.0,70M,0.277893,55934976.0,300,21,2196000
33409,2021-11-11 13:32:59,Intel Xeon Platinum 8380,2.5,66M,0.351042,59109376.0,700,1,37000
10123,2022-03-19 02:35:05,Intel Xeon Platinum 8356H,0.8,768M,0.02623,43659264.0,100,41,3946000
12815,2022-03-17 06:30:29,AMD EPYC 72F3,0.4,512M,0.108346,51048448.0,800,51,5084000
28329,2022-03-17 03:24:01,AMD Ryzen 7 5700G,0.7,640M,0.176399,49741824.0,900,1,41000
4640,2021-10-29 11:25:58,Intel Core i5-11600KF,4.0,100M,0.338188,63946752.0,800,1,43000
37077,2021-11-04 00:06:16,AMD Ryzen 5 5500U,1.5,95M,0.285003,61038592.0,400,101,10501000
7195,2022-03-07 03:27:45,Intel Core i5-11500,0.2,256M,0.1839,69357568.0,1000,51,9295000
3579,2021-11-10 16:28:36,AMD EPYC 7443P,1.0,75M,0.167426,58519552.0,200,21,2134000
42985,2022-03-11 14:32:33,Intel Xeon Platinum 8360HL,1.5,640M,0.284666,51945472.0,500,1,95000
22543,2022-03-11 09:17:56,Intel Xeon Platinum 8380,0.3,512M,0.237521,56729600.0,1000,21,2148000
8471,2022-03-11 07:23:07,AMD EPYC 7313,0.3,640M,0.098892,57606144.0,200,1,201000
4204,2022-03-17 02:08:43,Intel Xeon Platinum 8356H,0.8,640M,0.139742,51023872.0,700,11,1119000
30495,2022-03-11 09:55:22,Intel Xeon Gold 5317,0.4,512M,0.169546,59674624.0,400,1,111000
12341,2022-03-19 07:06:39,Intel Xeon Gold 6342,0.4,640M,0.139075,51261440.0,600,51,4918000
43133,2022-03-18 18:12:48,AMD Ryzen 7 5800HS,1.7,640M,0.172926,50327552.0,800,41,4053000
32138,2022-03-07 08:52:11,Intel Xeon Platinum 8354H,0.2,768M,0.171897,56619008.0,300,31,4913000
40203,2022-03-19 06:47:46,Intel Xeon Gold 6338T,0.4,256M,0.163147,46837760.0,300,31,2989000
51986,2022-03-11 01:43:14,Intel Xeon Platinum 8360Y,0.2,384M,0.201443,65769472.0,800,51,38595000
31137,2022-03-11 17:59:04,Intel Core i3-10105F,1.9,128M,0.02719,40198144.0,100,21,2113000
51192,2022-03-11 15:55:40,AMD EPYC 7713P,1.7,896M,0.021093,43307008.0,100,21,2188000
30347,2022-03-17 05:59:27,Intel Xeon Gold 6312U,0.4,256M,0.152366,48570368.0,400,21,2101000
